,col_1,col_2
114,115.jpg,[13.581866   2.8802295  2.2955608]
115,116.jpg,[1.1522657]
116,117.jpg,[8.430061 3.891151]
117,118.jpg,[6.2442293 2.6449378]
118,119.jpg,[28.052664 14.016144]
119,120.jpg,[2.3025172 1.1842346]
120,121.jpg,[3.5896714 1.6112261]
121,122.jpg,[2.9765968 1.9068182]
122,123.jpg,[1.2047404]
123,124.jpg,[2.8620048 1.5226455]
124,125.jpg,[1.8707392 1.6193304]
125,126.jpg,[1.4873734 1.0488433]
126,127.jpg,[1.3335252]
127,128.jpg,[3.4377527 1.9204822 1.1645819]
128,129.jpg,[3.3974555 3.166102  2.1885324]
129,130.jpg,[1.5710108 1.4874691]
130,131.jpg,[4.5466514 2.1480527 1.1290128]
131,132.jpg,[2.72428   1.7550226]
132,133.jpg,[4.0075755 2.3647935]
133,134.jpg,[4.3399878 2.2700572]
134,135.jpg,[5.131363  3.5602293]
135,136.jpg,[1.1267885]
136,137.jpg,[2.9948304 2.2692802 1.2296134 1.05649  ]
137,138.jpg,[10.410278   6.0900335]
138,139.jpg,[2.9948304 2.2692802 1.2296134 1.05649  ]
